Log T [K],diffential emission measure [1/cm^5/K]
6.64,4.59353e+23
6.65,4.63048e+23
6.66,4.66922e+23
6.67,4.70942e+23
6.68,4.75167e+23
6.69,4.79586e+23
6.70,4.84248e+23
6.71,4.89161e+23
6.72,4.94371e+23
6.73,4.99883e+23
6.74,5.05745e+23
6.75,5.11996e+23
6.76,5.18667e+23
6.77,5.25835e+23
6.78,5.33524e+23
6.79,5.41800e+23
6.80,5.50776e+23
6.81,5.60512e+23
6.82,5.71161e+23
6.83,5.82830e+23
6.84,5.95611e+23
6.85,6.09558e+23
6.86,6.25333e+23
6.87,6.35210e+23
6.88,5.96582e+23
6.89,5.51759e+23
6.90,4.85936e+23
6.91,4.14349e+23
6.92,3.46452e+23
6.93,2.79211e+23
6.94,1.77093e+23
6.95,1.26225e+23
6.96,1.04556e+23
6.97,7.16964e+22
6.98,3.36057e+22
6.99,1.45621e+21
7.00,0.00000e+00
7.01,0.00000e+00
7.02,0.00000e+00
7.03,0.00000e+00
7.04,0.00000e+00
7.05,0.00000e+00
7.06,0.00000e+00
7.07,0.00000e+00
7.08,0.00000e+00
7.09,0.00000e+00
7.10,0.00000e+00
7.11,0.00000e+00
7.12,0.00000e+00
7.13,0.00000e+00
7.14,0.00000e+00
7.15,0.00000e+00
7.16,0.00000e+00
7.17,0.00000e+00
7.18,0.00000e+00
7.19,0.00000e+00
7.20,0.00000e+00
7.21,0.00000e+00
7.22,0.00000e+00
7.23,0.00000e+00
7.24,0.00000e+00
7.25,0.00000e+00
7.26,0.00000e+00
7.27,0.00000e+00
7.28,0.00000e+00
7.29,0.00000e+00
7.30,0.00000e+00
7.31,0.00000e+00
7.32,0.00000e+00
7.33,0.00000e+00
7.34,0.00000e+00
7.35,0.00000e+00
7.36,0.00000e+00
7.37,0.00000e+00
7.38,0.00000e+00
7.39,0.00000e+00
7.40,0.00000e+00
7.41,0.00000e+00
7.42,0.00000e+00
7.43,0.00000e+00
7.44,0.00000e+00
7.45,0.00000e+00
7.46,0.00000e+00
7.47,0.00000e+00
7.48,0.00000e+00
7.49,0.00000e+00
7.50,0.00000e+00
