Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
357.15,4.04816e-01
357.16,4.13687e-01
357.17,4.23094e-01
357.18,4.33048e-01
357.19,4.43563e-01
357.20,4.54649e-01
357.21,4.66318e-01
357.22,4.78580e-01
357.23,4.91445e-01
357.24,5.04921e-01
357.25,5.19018e-01
357.26,5.33741e-01
357.27,5.49098e-01
357.28,5.65095e-01
357.29,5.81734e-01
357.30,5.99021e-01
357.31,6.16957e-01
357.32,6.35544e-01
357.33,6.54781e-01
357.34,6.74668e-01
357.35,6.95203e-01
357.36,7.16381e-01
357.37,7.38198e-01
357.38,7.60649e-01
357.39,7.83725e-01
357.40,8.07420e-01
357.41,8.31722e-01
357.42,8.56622e-01
357.43,8.82108e-01
357.44,9.08166e-01
357.45,9.34782e-01
357.46,9.61942e-01
357.47,9.89628e-01
357.48,1.01782e+00
357.49,1.04651e+00
357.50,1.07567e+00
357.51,1.10529e+00
357.52,1.13534e+00
357.53,1.16580e+00
357.54,1.19665e+00
357.55,1.22787e+00
357.56,1.25944e+00
357.57,1.29133e+00
357.58,1.32353e+00
357.59,1.35601e+00
357.60,1.38874e+00
357.61,1.42172e+00
357.62,1.45491e+00
357.63,1.48829e+00
357.64,1.52185e+00
357.65,1.55555e+00
357.66,1.58940e+00
357.67,1.62336e+00
357.68,1.65741e+00
357.69,1.69155e+00
357.70,1.72575e+00
357.71,1.76001e+00
357.72,1.79430e+00
357.73,1.82862e+00
357.74,1.86296e+00
357.75,1.89730e+00
357.76,1.93164e+00
357.77,1.96598e+00
357.78,2.00030e+00
357.79,2.03461e+00
357.80,2.06890e+00
357.81,2.10317e+00
357.82,2.13743e+00
357.83,2.17167e+00
357.84,2.20590e+00
357.85,2.24013e+00
357.86,2.27435e+00
357.87,2.30858e+00
357.88,2.34283e+00
357.89,2.37710e+00
357.90,2.41141e+00
357.91,2.44576e+00
357.92,2.48017e+00
357.93,2.51465e+00
357.94,2.54920e+00
357.95,2.58385e+00
357.96,2.61860e+00
357.97,2.65346e+00
357.98,2.68845e+00
357.99,2.72358e+00
358.00,2.75885e+00
358.01,2.79428e+00
358.02,2.82987e+00
358.03,2.86563e+00
358.04,2.90157e+00
358.05,2.93769e+00
358.06,2.97399e+00
358.07,3.01048e+00
358.08,3.04715e+00
358.09,3.08399e+00
358.10,3.12101e+00
358.11,3.15820e+00
358.12,3.19554e+00
358.13,3.23303e+00
358.14,3.27064e+00
358.15,3.30837e+00
358.16,3.34619e+00
358.17,3.38408e+00
358.18,3.42201e+00
358.19,3.45997e+00
358.20,3.49791e+00
358.21,3.53581e+00
358.22,3.57363e+00
358.23,3.61133e+00
358.24,3.64888e+00
358.25,3.68624e+00
358.26,3.72336e+00
358.27,3.76020e+00
358.28,3.79672e+00
358.29,3.83286e+00
358.30,3.86858e+00
358.31,3.90383e+00
358.32,3.93856e+00
358.33,3.97272e+00
358.34,4.00627e+00
358.35,4.03914e+00
358.36,4.07129e+00
358.37,4.10267e+00
358.38,4.13324e+00
358.39,4.16294e+00
358.40,4.19174e+00
358.41,4.21958e+00
358.42,4.24642e+00
358.43,4.27223e+00
358.44,4.29697e+00
358.45,4.32060e+00
358.46,4.34309e+00
358.47,4.36441e+00
358.48,4.38454e+00
358.49,4.40346e+00
358.50,4.42114e+00
358.51,4.43758e+00
358.52,4.45277e+00
358.53,4.46669e+00
358.54,4.47935e+00
358.55,4.49075e+00
358.56,4.50089e+00
358.57,4.50980e+00
358.58,4.51748e+00
358.59,4.52395e+00
358.60,4.52925e+00
358.61,4.53339e+00
358.62,4.53642e+00
358.63,4.53837e+00
358.64,4.53928e+00
358.65,4.53920e+00
358.66,4.53818e+00
358.67,4.53626e+00
358.68,4.53351e+00
358.69,4.52998e+00
358.70,4.52573e+00
358.71,4.52083e+00
358.72,4.51535e+00
358.73,4.50934e+00
358.74,4.50288e+00
358.75,4.49603e+00
358.76,4.48888e+00
358.77,4.48148e+00
358.78,4.47391e+00
358.79,4.46623e+00
358.80,4.45852e+00
358.81,4.45085e+00
358.82,4.44328e+00
358.83,4.43587e+00
358.84,4.42869e+00
358.85,4.42180e+00
358.86,4.41525e+00
358.87,4.40910e+00
358.88,4.40340e+00
358.89,4.39818e+00
358.90,4.39350e+00
358.91,4.38938e+00
358.92,4.38587e+00
358.93,4.38298e+00
358.94,4.38075e+00
358.95,4.37918e+00
358.96,4.37828e+00
358.97,4.37807e+00
358.98,4.37855e+00
358.99,4.37969e+00
359.00,4.38151e+00
359.01,4.38397e+00
359.02,4.38705e+00
359.03,4.39073e+00
359.04,4.39497e+00
359.05,4.39973e+00
359.06,4.40497e+00
359.07,4.41064e+00
359.08,4.41667e+00
359.09,4.42302e+00
359.10,4.42962e+00
359.11,4.43639e+00
359.12,4.44328e+00
359.13,4.45019e+00
359.14,4.45707e+00
359.15,4.46381e+00
359.16,4.47035e+00
359.17,4.47659e+00
359.18,4.48245e+00
359.19,4.48784e+00
359.20,4.49268e+00
359.21,4.49686e+00
359.22,4.50031e+00
359.23,4.50294e+00
359.24,4.50465e+00
359.25,4.50537e+00
359.26,4.50500e+00
359.27,4.50347e+00
359.28,4.50070e+00
359.29,4.49661e+00
359.30,4.49113e+00
359.31,4.48418e+00
359.32,4.47571e+00
359.33,4.46566e+00
359.34,4.45396e+00
359.35,4.44057e+00
359.36,4.42544e+00
359.37,4.40853e+00
359.38,4.38981e+00
359.39,4.36924e+00
359.40,4.34681e+00
359.41,4.32250e+00
359.42,4.29629e+00
359.43,4.26819e+00
359.44,4.23818e+00
359.45,4.20630e+00
359.46,4.17253e+00
359.47,4.13692e+00
359.48,4.09948e+00
359.49,4.06024e+00
359.50,4.01925e+00
359.51,3.97655e+00
359.52,3.93219e+00
359.53,3.88623e+00
359.54,3.83873e+00
359.55,3.78975e+00
359.56,3.73937e+00
359.57,3.68766e+00
359.58,3.63469e+00
359.59,3.58057e+00
359.60,3.52537e+00
359.61,3.46918e+00
359.62,3.41211e+00
359.63,3.35424e+00
359.64,3.29569e+00
359.65,3.23654e+00
359.66,3.17691e+00
359.67,3.11691e+00
359.68,3.05664e+00
359.69,2.99621e+00
359.70,2.93573e+00
359.71,2.87532e+00
359.72,2.81508e+00
359.73,2.75512e+00
359.74,2.69556e+00
359.75,2.63651e+00
359.76,2.57807e+00
359.77,2.52036e+00
359.78,2.46348e+00
359.79,2.40754e+00
359.80,2.35264e+00
359.81,2.29889e+00
359.82,2.24638e+00
359.83,2.19522e+00
359.84,2.14549e+00
359.85,2.09731e+00
359.86,2.05074e+00
359.87,2.00589e+00
359.88,1.96284e+00
359.89,1.92166e+00
359.90,1.88245e+00
359.91,1.84527e+00
359.92,1.81020e+00
359.93,1.77730e+00
359.94,1.74665e+00
359.95,1.71830e+00
359.96,1.69231e+00
359.97,1.66873e+00
359.98,1.64763e+00
359.99,1.62903e+00
360.00,1.61300e+00
360.01,1.59956e+00
360.02,1.58875e+00
360.03,1.58060e+00
360.04,1.57514e+00
360.05,1.57238e+00
360.06,1.57236e+00
360.07,1.57508e+00
360.08,1.58055e+00
360.09,1.58878e+00
360.10,1.59976e+00
360.11,1.61350e+00
360.12,1.62998e+00
360.13,1.64919e+00
360.14,1.67111e+00
360.15,1.69573e+00
360.16,1.72300e+00
360.17,1.75290e+00
360.18,1.78540e+00
360.19,1.82044e+00
360.20,1.85799e+00
360.21,1.89798e+00
360.22,1.94037e+00
360.23,1.98508e+00
360.24,2.03206e+00
360.25,2.08122e+00
360.26,2.13250e+00
360.27,2.18580e+00
360.28,2.24105e+00
360.29,2.29815e+00
360.30,2.35700e+00
360.31,2.41750e+00
360.32,2.47954e+00
360.33,2.54302e+00
360.34,2.60782e+00
360.35,2.67383e+00
360.36,2.74091e+00
360.37,2.80894e+00
360.38,2.87779e+00
360.39,2.94733e+00
360.40,3.01742e+00
360.41,3.08792e+00
360.42,3.15870e+00
360.43,3.22959e+00
360.44,3.30047e+00
360.45,3.37118e+00
360.46,3.44158e+00
360.47,3.51150e+00
360.48,3.58081e+00
360.49,3.64936e+00
360.50,3.71698e+00
360.51,3.78354e+00
360.52,3.84889e+00
360.53,3.91287e+00
360.54,3.97535e+00
360.55,4.03618e+00
360.56,4.09521e+00
360.57,4.15233e+00
360.58,4.20738e+00
360.59,4.26024e+00
360.60,4.31079e+00
360.61,4.35891e+00
360.62,4.40447e+00
360.63,4.44738e+00
360.64,4.48753e+00
360.65,4.52481e+00
360.66,4.55915e+00
360.67,4.59044e+00
360.68,4.61863e+00
360.69,4.64363e+00
360.70,4.66539e+00
360.71,4.68385e+00
360.72,4.69896e+00
360.73,4.71068e+00
360.74,4.71898e+00
360.75,4.72385e+00
360.76,4.72526e+00
360.77,4.72321e+00
360.78,4.71770e+00
360.79,4.70875e+00
360.80,4.69636e+00
360.81,4.68058e+00
360.82,4.66142e+00
360.83,4.63894e+00
360.84,4.61318e+00
360.85,4.58420e+00
360.86,4.55207e+00
360.87,4.51685e+00
360.88,4.47863e+00
360.89,4.43749e+00
360.90,4.39352e+00
360.91,4.34682e+00
360.92,4.29748e+00
360.93,4.24561e+00
360.94,4.19133e+00
360.95,4.13474e+00
360.96,4.07597e+00
360.97,4.01514e+00
360.98,3.95237e+00
360.99,3.88779e+00
361.00,3.82152e+00
361.01,3.75370e+00
361.02,3.68445e+00
361.03,3.61392e+00
361.04,3.54223e+00
361.05,3.46951e+00
361.06,3.39589e+00
361.07,3.32151e+00
361.08,3.24650e+00
361.09,3.17098e+00
361.10,3.09507e+00
361.11,3.01891e+00
361.12,2.94260e+00
361.13,2.86627e+00
361.14,2.79003e+00
361.15,2.71400e+00
361.16,2.63827e+00
361.17,2.56296e+00
361.18,2.48815e+00
361.19,2.41395e+00
361.20,2.34045e+00
361.21,2.26773e+00
361.22,2.19586e+00
361.23,2.12493e+00
361.24,2.05501e+00
361.25,1.98617e+00
361.26,1.91846e+00
361.27,1.85194e+00
361.28,1.78667e+00
361.29,1.72268e+00
361.30,1.66003e+00
361.31,1.59875e+00
361.32,1.53887e+00
361.33,1.48042e+00
361.34,1.42342e+00
361.35,1.36790e+00
361.36,1.31387e+00
361.37,1.26133e+00
361.38,1.21031e+00
361.39,1.16080e+00
361.40,1.11280e+00
361.41,1.06631e+00
361.42,1.02132e+00
361.43,9.77821e-01
361.44,9.35807e-01
361.45,8.95259e-01
361.46,8.56160e-01
361.47,8.18491e-01
361.48,7.82231e-01
361.49,7.47355e-01
361.50,7.13838e-01
361.51,6.81654e-01
361.52,6.50775e-01
361.53,6.21171e-01
361.54,5.92812e-01
361.55,5.65667e-01
361.56,5.39702e-01
361.57,5.14886e-01
361.58,4.91186e-01
361.59,4.68567e-01
361.60,4.46996e-01
361.61,4.26439e-01
361.62,4.06862e-01
361.63,3.88231e-01
361.64,3.70514e-01
361.65,3.53675e-01
361.66,3.37683e-01
361.67,3.22504e-01
361.68,3.08107e-01
361.69,2.94461e-01
361.70,2.81533e-01
361.71,2.69295e-01
361.72,2.57716e-01
361.73,2.46768e-01
361.74,2.36422e-01
361.75,2.26652e-01
361.76,2.17431e-01
361.77,2.08734e-01
361.78,2.00535e-01
361.79,1.92811e-01
361.80,1.85538e-01
361.81,1.78696e-01
361.82,1.72261e-01
361.83,1.66214e-01
361.84,1.60535e-01
361.85,1.55205e-01
361.86,1.50206e-01
361.87,1.45521e-01
361.88,1.41133e-01
361.89,1.37026e-01
361.90,1.33186e-01
361.91,1.29599e-01
361.92,1.26250e-01
361.93,1.23126e-01
361.94,1.20216e-01
361.95,1.17508e-01
361.96,1.14990e-01
361.97,1.12653e-01
361.98,1.10486e-01
361.99,1.08479e-01
362.00,1.06624e-01
362.01,1.04913e-01
362.02,1.03337e-01
362.03,1.01889e-01
362.04,1.00562e-01
362.05,9.93489e-02
362.06,9.82433e-02
362.07,9.72395e-02
362.08,9.63315e-02
362.09,9.55142e-02
362.10,9.47823e-02
362.11,9.41311e-02
362.12,9.35561e-02
362.13,9.30529e-02
362.14,9.26176e-02
362.15,9.22461e-02
362.16,9.19350e-02
362.17,9.16808e-02
362.18,9.14801e-02
362.19,9.13299e-02
362.20,9.12272e-02
362.21,9.11691e-02
362.22,9.11531e-02
362.23,9.11766e-02
362.24,9.12371e-02
362.25,9.13322e-02
362.26,9.14599e-02
362.27,9.16179e-02
362.28,9.18042e-02
362.29,9.20168e-02
362.30,9.22539e-02
362.31,9.25137e-02
362.32,9.27944e-02
362.33,9.30942e-02
362.34,9.34117e-02
362.35,9.37452e-02
362.36,9.40932e-02
362.37,9.44542e-02
362.38,9.48269e-02
362.39,9.52098e-02
362.40,9.56016e-02
362.41,9.60010e-02
362.42,9.64067e-02
362.43,9.68176e-02
362.44,9.72324e-02
362.45,9.76500e-02
362.46,9.80693e-02
362.47,9.84891e-02
362.48,9.89085e-02
362.49,9.93264e-02
362.50,9.97418e-02
362.51,1.00154e-01
362.52,1.00562e-01
362.53,1.00964e-01
362.54,1.01360e-01
362.55,1.01750e-01
362.56,1.02132e-01
362.57,1.02505e-01
362.58,1.02870e-01
362.59,1.03225e-01
362.60,1.03569e-01
362.61,1.03903e-01
362.62,1.04225e-01
362.63,1.04535e-01
362.64,1.04832e-01
362.65,1.05117e-01
362.66,1.05389e-01
362.67,1.05647e-01
362.68,1.05891e-01
362.69,1.06122e-01
362.70,1.06338e-01
362.71,1.06540e-01
362.72,1.06727e-01
362.73,1.06901e-01
362.74,1.07060e-01
362.75,1.07205e-01
362.76,1.07336e-01
362.77,1.07453e-01
362.78,1.07556e-01
362.79,1.07646e-01
362.80,1.07724e-01
362.81,1.07789e-01
362.82,1.07842e-01
362.83,1.07883e-01
362.84,1.07913e-01
362.85,1.07934e-01
362.86,1.07944e-01
362.87,1.07946e-01
362.88,1.07940e-01
362.89,1.07926e-01
362.90,1.07906e-01
362.91,1.07881e-01
362.92,1.07851e-01
362.93,1.07818e-01
362.94,1.07781e-01
362.95,1.07744e-01
362.96,1.07706e-01
362.97,1.07668e-01
362.98,1.07633e-01
362.99,1.07600e-01
363.00,1.07572e-01
363.01,1.07549e-01
363.02,1.07532e-01
363.03,1.07524e-01
363.04,1.07523e-01
363.05,1.07534e-01
363.06,1.07555e-01
363.07,1.07590e-01
363.08,1.07638e-01
363.09,1.07701e-01
363.10,1.07780e-01
363.11,1.07877e-01
363.12,1.07992e-01
363.13,1.08127e-01
363.14,1.08283e-01
363.15,1.08461e-01
363.16,1.08661e-01
363.17,1.08886e-01
363.18,1.09136e-01
363.19,1.09411e-01
363.20,1.09714e-01
363.21,1.10044e-01
363.22,1.10403e-01
363.23,1.10791e-01
363.24,1.11210e-01
363.25,1.11660e-01
363.26,1.12142e-01
363.27,1.12657e-01
363.28,1.13204e-01
363.29,1.13786e-01
363.30,1.14403e-01
363.31,1.15054e-01
363.32,1.15742e-01
363.33,1.16465e-01
363.34,1.17226e-01
363.35,1.18024e-01
363.36,1.18860e-01
363.37,1.19735e-01
363.38,1.20649e-01
363.39,1.21603e-01
363.40,1.22597e-01
363.41,1.23632e-01
363.42,1.24708e-01
363.43,1.25826e-01
363.44,1.26987e-01
363.45,1.28191e-01
363.46,1.29439e-01
363.47,1.30733e-01
363.48,1.32071e-01
363.49,1.33457e-01
363.50,1.34889e-01
363.51,1.36370e-01
363.52,1.37901e-01
363.53,1.39482e-01
363.54,1.41115e-01
363.55,1.42800e-01
363.56,1.44540e-01
363.57,1.46335e-01
363.58,1.48187e-01
363.59,1.50098e-01
363.60,1.52069e-01
363.61,1.54102e-01
363.62,1.56198e-01
363.63,1.58359e-01
363.64,1.60587e-01
363.65,1.62884e-01
363.66,1.65252e-01
363.67,1.67693e-01
363.68,1.70209e-01
363.69,1.72801e-01
363.70,1.75472e-01
363.71,1.78224e-01
363.72,1.81059e-01
363.73,1.83979e-01
363.74,1.86986e-01
363.75,1.90082e-01
363.76,1.93268e-01
363.77,1.96547e-01
363.78,1.99921e-01
363.79,2.03390e-01
363.80,2.06957e-01
363.81,2.10623e-01
363.82,2.14388e-01
363.83,2.18255e-01
363.84,2.22225e-01
363.85,2.26297e-01
363.86,2.30472e-01
363.87,2.34751e-01
363.88,2.39133e-01
363.89,2.43619e-01
363.90,2.48208e-01
363.91,2.52899e-01
363.92,2.57691e-01
363.93,2.62583e-01
363.94,2.67573e-01
363.95,2.72660e-01
363.96,2.77839e-01
363.97,2.83110e-01
363.98,2.88469e-01
363.99,2.93912e-01
364.00,2.99436e-01
364.01,3.05037e-01
364.02,3.10711e-01
364.03,3.16452e-01
364.04,3.22255e-01
364.05,3.28115e-01
364.06,3.34027e-01
364.07,3.39984e-01
364.08,3.45980e-01
364.09,3.52009e-01
364.10,3.58062e-01
364.11,3.64134e-01
364.12,3.70218e-01
364.13,3.76304e-01
364.14,3.82387e-01
364.15,3.88458e-01
364.16,3.94509e-01
364.17,4.00533e-01
364.18,4.06522e-01
364.19,4.12467e-01
364.20,4.18361e-01
364.21,4.24197e-01
364.22,4.29966e-01
364.23,4.35662e-01
364.24,4.41277e-01
364.25,4.46805e-01
364.26,4.52239e-01
364.27,4.57573e-01
364.28,4.62801e-01
364.29,4.67919e-01
364.30,4.72921e-01
364.31,4.77803e-01
364.32,4.82563e-01
364.33,4.87197e-01
364.34,4.91704e-01
364.35,4.96082e-01
364.36,5.00330e-01
364.37,5.04450e-01
364.38,5.08443e-01
364.39,5.12310e-01
364.40,5.16056e-01
364.41,5.19684e-01
364.42,5.23199e-01
364.43,5.26610e-01
364.44,5.29921e-01
364.45,5.33144e-01
364.46,5.36286e-01
364.47,5.39360e-01
364.48,5.42377e-01
364.49,5.45351e-01
364.50,5.48297e-01
364.51,5.51229e-01
364.52,5.54165e-01
364.53,5.57124e-01
364.54,5.60124e-01
364.55,5.63187e-01
364.56,5.66333e-01
364.57,5.69586e-01
364.58,5.72969e-01
364.59,5.76508e-01
364.60,5.80228e-01
364.61,5.84157e-01
364.62,5.88322e-01
364.63,5.92753e-01
364.64,5.97478e-01
364.65,6.02529e-01
364.66,6.07936e-01
364.67,6.13732e-01
364.68,6.19948e-01
364.69,6.26617e-01
364.70,6.33773e-01
364.71,6.41449e-01
364.72,6.49679e-01
364.73,6.58497e-01
364.74,6.67936e-01
364.75,6.78030e-01
364.76,6.88813e-01
364.77,7.00318e-01
364.78,7.12578e-01
364.79,7.25626e-01
364.80,7.39492e-01
364.81,7.54208e-01
364.82,7.69803e-01
364.83,7.86307e-01
364.84,8.03748e-01
364.85,8.22151e-01
364.86,8.41542e-01
364.87,8.61945e-01
364.88,8.83380e-01
364.89,9.05869e-01
364.90,9.29429e-01
364.91,9.54076e-01
364.92,9.79825e-01
364.93,1.00669e+00
364.94,1.03467e+00
364.95,1.06378e+00
364.96,1.09402e+00
364.97,1.12540e+00
364.98,1.15791e+00
364.99,1.19154e+00
365.00,1.22630e+00
365.01,1.26216e+00
365.02,1.29912e+00
365.03,1.33715e+00
365.04,1.37624e+00
365.05,1.41636e+00
365.06,1.45749e+00
365.07,1.49959e+00
365.08,1.54263e+00
365.09,1.58657e+00
365.10,1.63137e+00
365.11,1.67699e+00
365.12,1.72338e+00
365.13,1.77048e+00
365.14,1.81824e+00
365.15,1.86660e+00
365.16,1.91551e+00
365.17,1.96489e+00
365.18,2.01468e+00
365.19,2.06482e+00
365.20,2.11521e+00
365.21,2.16580e+00
365.22,2.21650e+00
365.23,2.26723e+00
365.24,2.31791e+00
365.25,2.36846e+00
365.26,2.41878e+00
365.27,2.46880e+00
365.28,2.51842e+00
365.29,2.56755e+00
365.30,2.61610e+00
365.31,2.66399e+00
365.32,2.71112e+00
365.33,2.75739e+00
365.34,2.80273e+00
365.35,2.84703e+00
365.36,2.89021e+00
365.37,2.93218e+00
365.38,2.97285e+00
365.39,3.01214e+00
365.40,3.04997e+00
365.41,3.08625e+00
365.42,3.12090e+00
365.43,3.15385e+00
365.44,3.18503e+00
365.45,3.21436e+00
365.46,3.24178e+00
365.47,3.26723e+00
365.48,3.29065e+00
365.49,3.31198e+00
365.50,3.33117e+00
365.51,3.34818e+00
365.52,3.36297e+00
365.53,3.37550e+00
365.54,3.38574e+00
365.55,3.39366e+00
365.56,3.39925e+00
365.57,3.40248e+00
365.58,3.40336e+00
365.59,3.40186e+00
365.60,3.39799e+00
365.61,3.39176e+00
365.62,3.38319e+00
365.63,3.37227e+00
365.64,3.35904e+00
365.65,3.34353e+00
365.66,3.32575e+00
365.67,3.30576e+00
365.68,3.28360e+00
365.69,3.25930e+00
365.70,3.23291e+00
365.71,3.20451e+00
365.72,3.17413e+00
365.73,3.14185e+00
365.74,3.10774e+00
365.75,3.07185e+00
365.76,3.03428e+00
365.77,2.99508e+00
365.78,2.95434e+00
365.79,2.91215e+00
365.80,2.86858e+00
365.81,2.82373e+00
365.82,2.77767e+00
365.83,2.73051e+00
365.84,2.68231e+00
365.85,2.63319e+00
365.86,2.58322e+00
365.87,2.53251e+00
365.88,2.48113e+00
365.89,2.42919e+00
365.90,2.37677e+00
365.91,2.32396e+00
365.92,2.27085e+00
365.93,2.21753e+00
365.94,2.16408e+00
365.95,2.11060e+00
365.96,2.05715e+00
365.97,2.00382e+00
365.98,1.95068e+00
365.99,1.89783e+00
366.00,1.84531e+00
366.01,1.79322e+00
366.02,1.74161e+00
366.03,1.69054e+00
366.04,1.64009e+00
366.05,1.59030e+00
366.06,1.54124e+00
366.07,1.49295e+00
366.08,1.44549e+00
366.09,1.39889e+00
366.10,1.35320e+00
366.11,1.30846e+00
366.12,1.26471e+00
366.13,1.22197e+00
366.14,1.18027e+00
366.15,1.13965e+00
366.16,1.10012e+00
366.17,1.06169e+00
366.18,1.02439e+00
366.19,9.88237e-01
366.20,9.53228e-01
366.21,9.19376e-01
366.22,8.86684e-01
366.23,8.55155e-01
366.24,8.24788e-01
366.25,7.95579e-01
366.26,7.67524e-01
366.27,7.40613e-01
366.28,7.14839e-01
366.29,6.90188e-01
366.30,6.66647e-01
366.31,6.44201e-01
366.32,6.22833e-01
366.33,6.02524e-01
366.34,5.83256e-01
366.35,5.65005e-01
366.36,5.47752e-01
366.37,5.31471e-01
366.38,5.16140e-01
366.39,5.01733e-01
366.40,4.88224e-01
366.41,4.75587e-01
366.42,4.63796e-01
366.43,4.52823e-01
366.44,4.42641e-01
366.45,4.33222e-01
366.46,4.24537e-01
366.47,4.16560e-01
366.48,4.09262e-01
366.49,4.02615e-01
366.50,3.96591e-01
366.51,3.91162e-01
366.52,3.86303e-01
366.53,3.81984e-01
366.54,3.78181e-01
366.55,3.74866e-01
366.56,3.72014e-01
366.57,3.69599e-01
366.58,3.67598e-01
366.59,3.65985e-01
366.60,3.64737e-01
366.61,3.63832e-01
366.62,3.63247e-01
366.63,3.62961e-01
366.64,3.62952e-01
366.65,3.63202e-01
366.66,3.63690e-01
366.67,3.64398e-01
366.68,3.65309e-01
366.69,3.66405e-01
366.70,3.67670e-01
366.71,3.69089e-01
366.72,3.70648e-01
366.73,3.72332e-01
366.74,3.74129e-01
366.75,3.76026e-01
366.76,3.78013e-01
366.77,3.80079e-01
366.78,3.82215e-01
366.79,3.84412e-01
366.80,3.86661e-01
366.81,3.88957e-01
366.82,3.91292e-01
366.83,3.93661e-01
366.84,3.96060e-01
366.85,3.98484e-01
366.86,4.00931e-01
366.87,4.03399e-01
366.88,4.05886e-01
366.89,4.08391e-01
366.90,4.10915e-01
366.91,4.13458e-01
366.92,4.16022e-01
366.93,4.18609e-01
366.94,4.21223e-01
366.95,4.23867e-01
366.96,4.26546e-01
366.97,4.29264e-01
366.98,4.32028e-01
366.99,4.34845e-01
367.00,4.37720e-01
367.01,4.40663e-01
367.02,4.43681e-01
367.03,4.46784e-01
367.04,4.49981e-01
367.05,4.53281e-01
367.06,4.56696e-01
367.07,4.60237e-01
367.08,4.63914e-01
367.09,4.67741e-01
367.10,4.71729e-01
367.11,4.75892e-01
367.12,4.80242e-01
367.13,4.84793e-01
367.14,4.89559e-01
367.15,4.94554e-01
367.16,4.99791e-01
367.17,5.05287e-01
367.18,5.11054e-01
367.19,5.17108e-01
367.20,5.23463e-01
367.21,5.30135e-01
367.22,5.37138e-01
367.23,5.44487e-01
367.24,5.52196e-01
367.25,5.60280e-01
367.26,5.68753e-01
367.27,5.77630e-01
367.28,5.86922e-01
367.29,5.96645e-01
367.30,6.06810e-01
367.31,6.17431e-01
367.32,6.28518e-01
367.33,6.40083e-01
367.34,6.52137e-01
367.35,6.64689e-01
367.36,6.77748e-01
367.37,6.91323e-01
367.38,7.05421e-01
367.39,7.20049e-01
367.40,7.35211e-01
367.41,7.50912e-01
367.42,7.67155e-01
367.43,7.83942e-01
367.44,8.01274e-01
367.45,8.19150e-01
367.46,8.37568e-01
367.47,8.56526e-01
367.48,8.76018e-01
367.49,8.96039e-01
367.50,9.16580e-01
367.51,9.37633e-01
367.52,9.59186e-01
367.53,9.81228e-01
367.54,1.00374e+00
367.55,1.02672e+00
367.56,1.05013e+00
367.57,1.07397e+00
367.58,1.09821e+00
367.59,1.12283e+00
367.60,1.14780e+00
367.61,1.17310e+00
367.62,1.19871e+00
367.63,1.22459e+00
367.64,1.25071e+00
367.65,1.27704e+00
367.66,1.30355e+00
367.67,1.33019e+00
367.68,1.35695e+00
367.69,1.38377e+00
367.70,1.41062e+00
367.71,1.43746e+00
367.72,1.46424e+00
367.73,1.49093e+00
367.74,1.51749e+00
367.75,1.54385e+00
367.76,1.56999e+00
367.77,1.59586e+00
367.78,1.62141e+00
367.79,1.64659e+00
367.80,1.67136e+00
367.81,1.69568e+00
367.82,1.71948e+00
367.83,1.74274e+00
367.84,1.76540e+00
367.85,1.78741e+00
367.86,1.80874e+00
367.87,1.82934e+00
367.88,1.84915e+00
367.89,1.86815e+00
367.90,1.88629e+00
367.91,1.90353e+00
367.92,1.91982e+00
367.93,1.93514e+00
367.94,1.94945e+00
367.95,1.96271e+00
367.96,1.97490e+00
367.97,1.98597e+00
367.98,1.99591e+00
367.99,2.00469e+00
368.00,2.01229e+00
368.01,2.01867e+00
368.02,2.02384e+00
368.03,2.02776e+00
368.04,2.03043e+00
368.05,2.03184e+00
368.06,2.03198e+00
368.07,2.03084e+00
368.08,2.02842e+00
368.09,2.02472e+00
368.10,2.01975e+00
368.11,2.01351e+00
368.12,2.00601e+00
368.13,1.99727e+00
368.14,1.98729e+00
368.15,1.97609e+00
368.16,1.96369e+00
368.17,1.95012e+00
368.18,1.93540e+00
368.19,1.91956e+00
368.20,1.90263e+00
368.21,1.88463e+00
368.22,1.86560e+00
368.23,1.84558e+00
368.24,1.82461e+00
368.25,1.80272e+00
368.26,1.77996e+00
368.27,1.75636e+00
368.28,1.73198e+00
368.29,1.70685e+00
368.30,1.68102e+00
368.31,1.65455e+00
368.32,1.62748e+00
368.33,1.59985e+00
368.34,1.57171e+00
368.35,1.54313e+00
368.36,1.51413e+00
368.37,1.48478e+00
368.38,1.45513e+00
368.39,1.42522e+00
368.40,1.39510e+00
368.41,1.36482e+00
368.42,1.33442e+00
368.43,1.30397e+00
368.44,1.27349e+00
368.45,1.24304e+00
368.46,1.21267e+00
368.47,1.18240e+00
368.48,1.15229e+00
368.49,1.12237e+00
368.50,1.09269e+00
368.51,1.06328e+00
368.52,1.03418e+00
368.53,1.00541e+00
368.54,9.77022e-01
368.55,9.49033e-01
368.56,9.21476e-01
368.57,8.94376e-01
368.58,8.67760e-01
368.59,8.41649e-01
368.60,8.16066e-01
368.61,7.91029e-01
368.62,7.66555e-01
368.63,7.42661e-01
368.64,7.19360e-01
368.65,6.96663e-01
368.66,6.74582e-01
368.67,6.53123e-01
368.68,6.32293e-01
368.69,6.12098e-01
368.70,5.92540e-01
368.71,5.73621e-01
368.72,5.55342e-01
368.73,5.37699e-01
368.74,5.20692e-01
368.75,5.04315e-01
368.76,4.88563e-01
368.77,4.73430e-01
