Wavelength [A],flux (measured at 1 au) [erg/cm^2/s/A]
2.64,1.73746e-01
2.65,1.77002e-01
2.66,1.80547e-01
2.67,1.84132e-01
2.68,1.87759e-01
2.69,1.91426e-01
2.70,2.00465e-01
2.71,2.11495e-01
2.72,2.02688e-01
2.73,2.08133e-01
2.74,2.15278e-01
2.75,2.76641e-01
2.76,2.21114e-01
2.77,2.23633e-01
2.78,2.26602e-01
2.79,2.30352e-01
2.80,2.34468e-01
2.81,2.38761e-01
2.82,2.42850e-01
2.83,2.47059e-01
2.84,2.51330e-01
2.85,2.55653e-01
2.86,2.60004e-01
2.87,2.64403e-01
2.88,2.68840e-01
2.89,2.73317e-01
2.90,2.77829e-01
2.91,2.82393e-01
2.92,2.87070e-01
2.93,2.91614e-01
2.94,2.96286e-01
2.95,3.01011e-01
2.96,3.05748e-01
2.97,3.10536e-01
2.98,3.15382e-01
2.99,3.20431e-01
3.00,3.25123e-01
3.01,3.28614e-01
3.02,3.33911e-01
3.03,3.38665e-01
3.04,3.43748e-01
3.05,3.49081e-01
3.06,3.53841e-01
3.07,3.59388e-01
3.08,3.64097e-01
3.09,3.70144e-01
3.10,3.74585e-01
3.11,3.79945e-01
3.12,3.87525e-01
3.13,3.99991e-01
3.14,4.06256e-01
3.15,4.05839e-01
3.16,4.18217e-01
3.17,4.53620e-01
3.18,9.69484e-01
3.19,7.78383e-01
3.20,7.26275e-01
3.21,1.11908e+00
3.22,4.60791e-01
3.23,4.64133e-01
3.24,4.53289e-01
3.25,4.66924e-01
3.26,4.85070e-01
3.27,5.55258e-01
3.28,4.80612e-01
3.29,4.81986e-01
3.30,4.87192e-01
3.31,4.93028e-01
3.32,4.99045e-01
3.33,5.05082e-01
3.34,5.11147e-01
3.35,5.17252e-01
3.36,5.34159e-01
3.37,5.60521e-01
3.38,5.35917e-01
3.39,5.42046e-01
3.40,5.53249e-01
3.41,5.66196e-01
3.42,6.23610e-01
3.43,7.11807e-01
3.44,5.79475e-01
3.45,5.87156e-01
3.46,5.91285e-01
3.47,5.92848e-01
3.48,5.99210e-01
3.49,6.05701e-01
3.50,6.12230e-01
3.51,6.18783e-01
3.52,6.25363e-01
3.53,6.31972e-01
3.54,6.38602e-01
3.55,6.44718e-01
3.56,6.51400e-01
3.57,6.58111e-01
3.58,6.64848e-01
3.59,6.71601e-01
3.60,6.78374e-01
3.61,6.85172e-01
3.62,6.92020e-01
3.63,6.98849e-01
3.64,7.05713e-01
3.65,7.12617e-01
3.66,7.19544e-01
3.67,7.26542e-01
3.68,7.33445e-01
3.69,7.43718e-01
3.70,7.53677e-01
3.71,7.54481e-01
3.72,7.61912e-01
3.73,7.79045e-01
3.74,7.80377e-01
3.75,7.83886e-01
3.76,7.92143e-01
3.77,8.02266e-01
3.78,8.18798e-01
3.79,8.21166e-01
3.80,8.19150e-01
3.81,8.26180e-01
3.82,8.33243e-01
3.83,8.40515e-01
3.84,8.47725e-01
3.85,8.34177e-01
3.86,8.41258e-01
3.87,8.48951e-01
3.88,8.56379e-01
3.89,8.64008e-01
3.90,8.95909e-01
3.91,8.79742e-01
3.92,8.92250e-01
3.93,8.96432e-01
3.94,1.26542e+00
3.95,3.91302e+00
3.96,1.65878e+00
3.97,2.14321e+00
3.98,1.45109e+00
3.99,3.19323e+00
4.00,2.18285e+00
4.01,1.01209e+00
4.02,1.03521e+00
4.03,9.92630e-01
4.04,1.01663e+00
4.05,1.01152e+00
4.06,1.07494e+00
4.07,1.08417e+00
4.08,1.15268e+00
4.09,2.19263e+00
4.10,1.09609e+00
4.11,1.19286e+00
4.12,1.03596e+00
4.13,1.04155e+00
4.14,1.04886e+00
4.15,1.07059e+00
4.16,1.10604e+00
4.17,1.08610e+00
4.18,1.22227e+00
4.19,1.42390e+00
4.20,1.17892e+00
4.21,1.10395e+00
4.22,1.11458e+00
4.23,1.11851e+00
4.24,1.12543e+00
4.25,1.13313e+00
